site,elevation,elevation_source,elevation_web,slope,slope_source,slope_web,aspect,aspect_source,aspect_web,,
AT-Neu,970,FLUXNET BADM,https://fluxnet.org/,Flat,FLUXNET BADM,https://fluxnet.org/,Flat,FLUXNET BADM,https://fluxnet.org/,,
AU-Cpr,6.5,"Meyer et al., 2015",https://doi.org/10.1002/hyp.10467,Flat,OzFlux,https://ozflux.org.au/,Flat,OzFlux,https://ozflux.org.au/,OzFlux,https://ozflux.org.au/
AU-DaP,70,OzFlux,https://ozflux.org.au/,,,,,,,,
AU-DaS,110,OzFlux,https://ozflux.org.au/,,,,,,,,
AU-Dry,175,OzFlux,https://ozflux.org.au/,,,,,,,,
AU-How,64,OzFlux,https://ozflux.org.au/,,,,,,,,
AU-Lit,200,"Ukkola et al., 2022",https://doi.org/10.5194/essd-14-449-2022,,,,,,,,
AU-Stp,250,OzFlux,https://ozflux.org.au/,,,,,,,,
BE-Bra,16,FLUXNET BADM,https://fluxnet.org/,,,,,,,,
BE-Lon,167,FLUXNET BADM,https://fluxnet.org/,< 2%,FLUXNET BADM,https://fluxnet.org/,WSW,FLUXNET BADM,https://fluxnet.org/,,
BE-Vie,493,FLUXNET BADM,https://fluxnet.org/,2-5%,FLUXNET BADM,https://fluxnet.org/,NW,FLUXNET BADM,https://fluxnet.org/,,
CA-Qfo,382,FLUXNET BADM,https://fluxnet.org/,0-15%,"Bergeron et al., 2007",https://doi.org/10.1111/j.1365-2486.2006.01281.x,NNW,"Bergeron et al., 2007",https://doi.org/10.1111/j.1365-2486.2006.01281.x,FLUXNET BADM,https://fluxnet.org/
CA-SF1,536,FLUXNET BADM,https://fluxnet.org/,Flat,FLUXNET BADM,https://fluxnet.org/,Flat,FLUXNET BADM,https://fluxnet.org/,,
CA-SF2,520,FLUXNET BADM,https://fluxnet.org/,Flat,FLUXNET BADM,https://fluxnet.org/,Flat,FLUXNET BADM,https://fluxnet.org/,,
CA-SF3,540,FLUXNET BADM,https://fluxnet.org/,Flat,FLUXNET BADM,https://fluxnet.org/,Flat,FLUXNET BADM,https://fluxnet.org/,,
CH-Cha,393,FLUXNET BADM,https://fluxnet.org/,Flat,"Gharun et al., 2020",https://doi.org/10.1098/rstb.2019.0521,Flat,"Gharun et al., 2020",https://doi.org/10.1098/rstb.2019.0521,,
CH-Dav,1639,FLUXNET BADM,https://fluxnet.org/,,,,,,,,
CH-Fru,982,FLUXNET BADM,https://fluxnet.org/,< 5%,"Gharun et al., 2020",https://doi.org/10.1098/rstb.2019.0521,,,,,
CN-Cng,171,ChinaFlux,http://www.chinaflux.org/,,,,,,,,
CN-Du2,1350,ChinaFlux,http://www.chinaflux.org/,,,,,,,,
CN-HaM,3216,ChinaFlux,http://www.chinaflux.org/,Flat,"Kato et al., 2006",https://doi.org/10.1111/j.1365-2486.2006.01153.x,Flat,"Kato et al., 2006",https://doi.org/10.1111/j.1365-2486.2006.01153.x,,
CZ-wet,426,FLUXNET BADM,https://fluxnet.org/,Flat,FLUXNET BADM,https://fluxnet.org/,Flat,FLUXNET BADM,https://fluxnet.org/,,
DE-Bay,780,"Schmid et al., 2006",https://doi.org/10.1007/s10113-006-0017-x,10-15%,"van Wijk and Bouten et al., 2000",https://doi.org/10.1029/2000WR900068,SW,"van Wijk and Bouten et al., 2000",https://doi.org/10.1029/2000WR900068,"Schmid et al., 2006",https://doi.org/10.1007/s10113-006-0017-x
DE-Geb,161.5,FLUXNET BADM,https://fluxnet.org/,Flat,FLUXNET BADM,https://fluxnet.org/,Flat,FLUXNET BADM,https://fluxnet.org/,,
DE-Gri,385,FLUXNET BADM,https://fluxnet.org/,Flat,FLUXNET BADM,https://fluxnet.org/,Flat,FLUXNET BADM,https://fluxnet.org/,,
DE-Hai,430,FLUXNET BADM,https://fluxnet.org/,2-5%,FLUXNET BADM,https://fluxnet.org/,N,FLUXNET BADM,https://fluxnet.org/,,
DE-Kli,478,FLUXNET BADM,https://fluxnet.org/,,,,W,FLUXNET BADM,https://fluxnet.org/,,
DE-Meh,286,"Chen and Dirmeyer, 2016",10.1088/1748-9326/11/3/034002,2-5%,European Fluxes Database,http://www.europe-fluxdata.eu/,N,European Fluxes Database,http://www.europe-fluxdata.eu/,"Chen and Dirmeyer, 2016",10.1088/1748-9326/11/3/034002
DE-Obe,734,FLUXNET BADM,https://fluxnet.org/,5-10%,FLUXNET BADM,https://fluxnet.org/,E,FLUXNET BADM,https://fluxnet.org/,,
DE-Seh,103,FLUXNET BADM,https://fluxnet.org/,2-5% ,FLUXNET BADM,https://fluxnet.org/,W,FLUXNET BADM,https://fluxnet.org/,,
DE-SfN,590,FLUXNET BADM,https://fluxnet.org/,Flat,FLUXNET BADM,https://fluxnet.org/,Flat,FLUXNET BADM,https://fluxnet.org/,,
DE-Tha,385,FLUXNET BADM,https://fluxnet.org/,2%,"Prescher et al., 2010",https://doi.org/10.1016/j.agrformet.2010.03.008,S,FLUXNET BADM,https://fluxnet.org/,"Prescher et al., 2010",https://doi.org/10.1016/j.agrformet.2010.03.008
DE-Wet,785,"P. M. Anthoni et al., 2004",https://doi.org/10.1111/j.1365-2486.2004.00863.x,,,,,,,,
DK-Lva,15,"Soussana et al., 2007",https://doi.org/10.1016/j.agee.2006.12.022,,,,,,,,
DK-Sor,40,FLUXNET BADM,https://fluxnet.org/,Flat,"Pilegaard et al., 2003","Pilegaard, K., Mikkelsen, T. N., Beier, C., Jensen, N. O., Ambus, P. & RoPoulsen, H. 2003: Field measurements of atmosphere–biosphere interactions in a Danish beech forest. Boreal Env. Res. 8: 315–333. ISSN 1239-6095",Flat,"Pilegaard et al., 2003","Pilegaard, K., Mikkelsen, T. N., Beier, C., Jensen, N. O., Ambus, P. & RoPoulsen, H. 2003: Field measurements of atmosphere–biosphere interactions in a Danish beech forest. Boreal Env. Res. 8: 315–333. ISSN 1239-6095",FLUXNET BADM,https://fluxnet.org/
ES-LMa,260,"Oliphant and Stoy, 2018",https://doi.org/10.1002/2017JG004370,2-5% ,European Fluxes Database,http://www.europe-fluxdata.eu/,,,,European Fluxes Database,http://www.europe-fluxdata.eu/
FI-Hyy,181,FLUXNET BADM,https://fluxnet.org/,< 2%,FLUXNET BADM,https://fluxnet.org/,N,FLUXNET BADM,https://fluxnet.org/,,
FI-Lom,274,FLUXNET BADM,https://fluxnet.org/,,,,,,,,
FI-Sod,180,FLUXNET BADM,https://fluxnet.org/,,,,,,,,
FR-Gri,125,FLUXNET BADM,https://fluxnet.org/,< 2%,FLUXNET BADM,https://fluxnet.org/,Flat,FLUXNET BADM,https://fluxnet.org/,,
FR-Hes,300,"Granier et al., 2000",https://doi.org/10.1016/S0168-1923(99)00151-3,0-8 %,European Fluxes Database,http://www.europe-fluxdata.eu/,,,,European Fluxes Database,http://www.europe-fluxdata.eu/
FR-LBr,61,FLUXNET BADM,https://fluxnet.org/,,,,,,,,
FR-Pue,270,FLUXNET BADM,https://fluxnet.org/,Flat,European Fluxes Database,http://www.europe-fluxdata.eu/,Flat,European Fluxes Database,http://www.europe-fluxdata.eu/,European Fluxes Database,http://www.europe-fluxdata.eu/
HU-Bug,140,"Dou and Yang, 2018",https://doi.org/10.1155/2018/1824317,,,,,,,,
IE-Dri,200,"Lawton et al., 2006",https://doi.org/10.1029/2006JG000160,,,,,,,,
IT-Amp,884,"Oliphant and Stoy, 2018",https://doi.org/10.1002/2017JG004370,,,,,,,,
IT-Cpz,68,FLUXNET BADM,https://fluxnet.org/,Flat,"Reichstein et al., 2002",https://doi.org/10.1046/j.0269-8463.2001.00597.x,Flat,"Reichstein et al., 2002",https://doi.org/10.1046/j.0269-8463.2001.00597.x,"Reichstein et al., 2002",https://doi.org/10.1046/j.0269-8463.2001.00597.x
IT-Isp,210,FLUXNET BADM,https://fluxnet.org/,Flat,FLUXNET BADM,https://fluxnet.org/,Flat,FLUXNET BADM,https://fluxnet.org/,,
IT-Lav,1353,FLUXNET BADM,https://fluxnet.org/,,,,,,,,
IT-MBo,1550,FLUXNET BADM,https://fluxnet.org/,Flat,FLUXNET BADM,https://fluxnet.org/,Flat,FLUXNET BADM,https://fluxnet.org/,,
IT-Noe,25,FLUXNET BADM,https://fluxnet.org/,Flat,FLUXNET BADM,https://fluxnet.org/,Flat,FLUXNET BADM,https://fluxnet.org/,,
IT-PT1,60,FLUXNET BADM,https://fluxnet.org/,Flat,FLUXNET BADM,https://fluxnet.org/,Flat,FLUXNET BADM,https://fluxnet.org/,,
IT-Ren,1730,FLUXNET BADM,https://fluxnet.org/,> 10%,FLUXNET BADM,https://fluxnet.org/,SW,FLUXNET BADM,https://fluxnet.org/,,
IT-SR2,4,FLUXNET BADM,https://fluxnet.org/,Flat,FLUXNET BADM,https://fluxnet.org/,Flat,FLUXNET BADM,https://fluxnet.org/,,
IT-SRo,6,FLUXNET BADM,https://fluxnet.org/,Flat,FLUXNET BADM,https://fluxnet.org/,Flat,FLUXNET BADM,https://fluxnet.org/,,
NL-Ca1,0.7,"Oliphant and Stoy, 2018",https://doi.org/10.1002/2017JG004370,,,,,,,,
NL-Loo,25,FLUXNET BADM,https://fluxnet.org/,,,,,,,,
PL-wet,54,"Oliphant and Stoy, 2018",https://doi.org/10.1002/2017JG004370,Flat,European Fluxes Database,http://www.europe-fluxdata.eu/,Flat,European Fluxes Database,http://www.europe-fluxdata.eu/,European Fluxes Database,http://www.europe-fluxdata.eu/
PT-Mi2,190,"Oliphant and Stoy, 2018",https://doi.org/10.1002/2017JG004370,,,,,,,,
RU-Fyo,265,FLUXNET BADM,https://fluxnet.org/,Flat,FLUXNET BADM,https://fluxnet.org/,Flat,FLUXNET BADM,https://fluxnet.org/,,
SD-Dem,500,FLUXNET BADM,https://fluxnet.org/,,,,,,,,
US-AR1,611,AmeriFlux BADM,https://ameriflux.lbl.gov/,2-5% ,AmeriFlux BADM,https://ameriflux.lbl.gov/,,,,,
US-AR2,646,AmeriFlux BADM,https://ameriflux.lbl.gov/,2-5% ,AmeriFlux BADM,https://ameriflux.lbl.gov/,,,,,
US-ARM,314,AmeriFlux BADM,https://ameriflux.lbl.gov/,2-5% ,AmeriFlux BADM,https://ameriflux.lbl.gov/,,,,,
US-Aud,1496,"Krishnan et al., 2012",https://doi.org/10.1016/j.agrformet.2011.09.017,,,,,,,,
US-Bkg,510,AmeriFlux,https://ameriflux.lbl.gov/,,,,,,,,
US-Bo1,219,AmeriFlux BADM,https://ameriflux.lbl.gov/,,,,,,,,
US-FPe,634,"Gilmanov et al., 2005",https://doi.org/10.1111/j.1466-822X.2005.00151.x,,,,,,,,
US-GLE,3197,AmeriFlux BADM,https://ameriflux.lbl.gov/,2-5% ,AmeriFlux BADM,https://ameriflux.lbl.gov/,W,AmeriFlux BADM,https://ameriflux.lbl.gov/,,
US-Goo,87,FLUXNET BADM,https://fluxnet.org/,,,,,,,,
US-Ho1,60,AmeriFlux BADM,https://ameriflux.lbl.gov/,,,,,,,,
US-KS2,3,AmeriFlux BADM,https://ameriflux.lbl.gov/,Flat,AmeriFlux BADM,https://ameriflux.lbl.gov/,Flat,AmeriFlux BADM,https://ameriflux.lbl.gov/,,
US-Los,480,AmeriFlux BADM,https://ameriflux.lbl.gov/,Flat,AmeriFlux BADM,https://ameriflux.lbl.gov/,Flat,AmeriFlux BADM,https://ameriflux.lbl.gov/,,
US-Me2,1253,AmeriFlux BADM,https://ameriflux.lbl.gov/,Flat,AmeriFlux BADM,https://ameriflux.lbl.gov/,Flat,AmeriFlux BADM,https://ameriflux.lbl.gov/,,
US-Me4,922,AmeriFlux BADM,https://ameriflux.lbl.gov/,5-10%,AmeriFlux BADM,https://ameriflux.lbl.gov/,,,,,
US-Me6,998,AmeriFlux BADM,https://ameriflux.lbl.gov/,Flat,AmeriFlux BADM,https://ameriflux.lbl.gov/,Flat,AmeriFlux BADM,https://ameriflux.lbl.gov/,,
US-MMS,275,AmeriFlux BADM,https://ameriflux.lbl.gov/,,,,,,,,
US-MOz,219.4,AmeriFlux BADM,https://ameriflux.lbl.gov/,,,,,,,,
US-Ne3,363,AmeriFlux BADM,https://ameriflux.lbl.gov/,,,,,,,,
US-NR1,3050,AmeriFlux BADM,https://ameriflux.lbl.gov/,5-10%,AmeriFlux BADM,https://ameriflux.lbl.gov/,E,AmeriFlux BADM,https://ameriflux.lbl.gov/,,
US-SP2,50,AmeriFlux BADM,https://ameriflux.lbl.gov/,Flat,AmeriFlux BADM,https://ameriflux.lbl.gov/,Flat,AmeriFlux BADM,https://ameriflux.lbl.gov/,,
US-SP3,50,AmeriFlux BADM,https://ameriflux.lbl.gov/,Flat,AmeriFlux BADM,https://ameriflux.lbl.gov/,Flat,AmeriFlux BADM,https://ameriflux.lbl.gov/,,
US-SRG,1291,AmeriFlux BADM,https://ameriflux.lbl.gov/,< 2%,AmeriFlux BADM,https://ameriflux.lbl.gov/,W,AmeriFlux BADM,https://ameriflux.lbl.gov/,,
US-SRM,1120,AmeriFlux BADM,https://ameriflux.lbl.gov/,2-5%,AmeriFlux BADM,https://ameriflux.lbl.gov/,W,AmeriFlux BADM,https://ameriflux.lbl.gov/,,
US-Syv,540,AmeriFlux BADM,https://ameriflux.lbl.gov/,< 2%,AmeriFlux BADM,https://ameriflux.lbl.gov/,N,AmeriFlux BADM,https://ameriflux.lbl.gov/,,
US-Ton,177,AmeriFlux BADM,https://ameriflux.lbl.gov/,Flat,AmeriFlux BADM,https://ameriflux.lbl.gov/,Flat,AmeriFlux BADM,https://ameriflux.lbl.gov/,,
US-Var,129,AmeriFlux BADM,https://ameriflux.lbl.gov/,2-5%,AmeriFlux BADM,https://ameriflux.lbl.gov/,,,,,
US-WCr,520,AmeriFlux BADM,https://ameriflux.lbl.gov/,< 2%,AmeriFlux BADM,https://ameriflux.lbl.gov/,SE,AmeriFlux BADM,https://ameriflux.lbl.gov/,,
US-Whs,1370,AmeriFlux BADM,https://ameriflux.lbl.gov/,3-8%,"Moran et al., 2009","https://doi.org/10.1016/j.agrformet.2008.07.004, 2009",S,AmeriFlux BADM,https://ameriflux.lbl.gov/,AmeriFlux BADM,https://ameriflux.lbl.gov/
US-Wkg,1531,AmeriFlux BADM,https://ameriflux.lbl.gov/,10%,"Scott et al., 2010",https://doi.org/10.1029/2010JG001348,,,,AmeriFlux BADM,https://ameriflux.lbl.gov/
